---- Sensor Log ----
707,47,37,24.18
1721,40,37,24.21
2736,40,37,24.61
3751,40,37,24.13
4766,40,37,24.16
5781,40,37,24.23
6796,40,37,24.10
7811,40,37,24.23
8826,40,37,24.13
9841,40,37,24.16
10856,40,37,24.13
11871,40,37,24.13
12886,40,37,24.13
13901,40,37,24.21
14916,40,37,24.08
15932,40,37,24.10
16947,40,38,24.13
17962,40,38,23.87
18977,40,38,24.10
19992,40,38,24.10
21007,40,36,24.08
22022,40,19,24.00
23037,40,13,23.95
24052,40,9,24.03
25067,40,7,24.08
26082,40,18,24.16
27097,40,37,24.16
28112,40,38,24.03
29127,40,38,24.21
30143,40,38,24.16
31158,40,38,24.18
32173,40,38,24.18
33188,40,38,24.23
34203,40,39,24.23
35218,40,39,24.23
36233,40,39,24.23
37248,40,39,24.13
38263,40,39,24.13
39278,40,39,23.87
40293,40,39,24.18
41308,40,38,24.13
42323,40,18,24.08
43338,40,38,24.21
44354,40,23,24.18
45369,40,32,24.10
46384,40,21,24.13
47399,40,21,24.10
48414,40,22,24.10
49429,40,25,24.13
50444,40,36,24.21
51459,40,38,24.18
52474,40,38,24.16
53489,40,38,24.18
54504,40,38,24.16
55519,39,38,24.18
56534,40,38,24.08
57549,40,38,24.13
58565,40,38,24.13
59580,40,35,24.10
60595,41,21,24.00
61610,40,21,24.03
62625,40,32,24.13
63640,40,22,23.98
64655,40,21,24.10
65670,40,21,24.08
66685,40,21,24.16
67700,40,21,24.05
68715,40,21,24.10
69730,39,21,24.03
70745,40,21,24.10
71760,40,21,24.08
72776,40,21,24.08
73791,40,21,24.00
74806,40,21,24.03
75821,39,37,24.10
76836,41,38,24.10
77851,40,23,24.00
78866,39,22,24.03
79881,40,22,23.98
80896,40,22,24.03
81911,40,23,24.00
82926,40,36,24.03
83941,40,36,24.10
84956,41,36,24.03
85971,40,36,24.03
86987,40,27,24.08
88002,41,28,24.08
89017,40,22,24.03
90032,40,32,24.03
91047,40,22,23.98
92062,41,22,23.98
93077,40,22,24.03
94092,40,22,24.00
95107,40,21,24.03
96122,40,21,24.03
97137,41,21,24.00
98152,40,21,24.00
99167,40,22,24.08
100182,40,22,24.00
101198,39,21,24.03
102213,41,22,24.00
103228,40,22,23.98
104243,43,22,24.03
105258,41,22,24.03
106273,41,22,24.00
107288,39,21,24.08
108303,39,21,24.00
109318,40,22,24.00
110333,41,22,24.03
111348,40,22,23.98
112363,40,36,24.10
113378,40,34,24.08
114394,40,36,24.03
115409,40,38,24.05
116424,40,38,24.05
117439,40,38,24.10
118454,40,38,24.08
119469,37,38,24.00
120484,40,38,24.05
121499,40,38,24.03
122514,40,38,24.00
123529,40,38,24.03
124544,40,38,24.03
125559,40,38,24.08
126574,40,38,24.03
127590,40,38,23.87
128605,40,38,24.08
129620,40,38,24.18
130635,40,38,24.08
131650,40,38,24.10
132665,40,21,23.90
133680,40,22,24.03
134695,39,21,24.00
135710,40,21,24.03
136725,40,21,24.18
137740,40,35,24.18
138755,40,34,24.08
139770,40,32,24.00
140786,41,27,24.03
141801,40,22,24.03
142816,40,23,24.08
143831,40,31,24.00
144846,40,30,24.00
145861,40,36,24.10
146876,40,27,24.10
147891,40,23,24.08
148906,40,22,23.98
149921,40,22,24.03
150936,41,22,24.03
151951,40,22,24.08
152966,40,21,23.87
153981,40,21,24.03
154997,41,21,24.03
156012,39,21,24.00
157027,40,21,24.13
158042,40,21,24.00
159057,40,21,24.21
160072,40,21,24.08
